LAB_L,LAB_A,LAB_B,SPECTRAL_NM380,SPECTRAL_NM390,SPECTRAL_NM400,SPECTRAL_NM410,SPECTRAL_NM420,SPECTRAL_NM430,SPECTRAL_NM440,SPECTRAL_NM450,SPECTRAL_NM460,SPECTRAL_NM470,SPECTRAL_NM480,SPECTRAL_NM490,SPECTRAL_NM500,SPECTRAL_NM510,SPECTRAL_NM520,SPECTRAL_NM530,SPECTRAL_NM540,SPECTRAL_NM550,SPECTRAL_NM560,SPECTRAL_NM570,SPECTRAL_NM580,SPECTRAL_NM590,SPECTRAL_NM600,SPECTRAL_NM610,SPECTRAL_NM620,SPECTRAL_NM630,SPECTRAL_NM640,SPECTRAL_NM650,SPECTRAL_NM660,SPECTRAL_NM670,SPECTRAL_NM680,SPECTRAL_NM690,SPECTRAL_NM700,SPECTRAL_NM710,SPECTRAL_NM720,SPECTRAL_NM730
19.98,-9.23,4.89,0.0395,0.0394,0.0357,0.0314,0.0264,0.0226,0.0199,0.0189,0.0196,0.0224,0.0279,0.0359,0.0408,0.0405,0.0379,0.035,0.0324,0.0301,0.0282,0.0275,0.0271,0.0262,0.0246,0.0231,0.0221,0.0215,0.021,0.021,0.021,0.0204,0.0195,0.0187,0.0179,0.0178,0.019,0.0216
32.93,-15.13,7.83,0.0736,0.0783,0.0784,0.0731,0.063,0.0538,0.0474,0.0446,0.0458,0.0524,0.0669,0.091,0.1083,0.1086,0.1001,0.091,0.0828,0.0755,0.0696,0.0675,0.0668,0.0643,0.059,0.054,0.0511,0.0495,0.0488,0.0499,0.0515,0.0511,0.0483,0.0445,0.0404,0.0383,0.0408,0.0493
25.77,5.33,-23.47,0.0696,0.0788,0.0979,0.1142,0.1246,0.1286,0.1252,0.1166,0.1081,0.0991,0.0888,0.0787,0.0697,0.062,0.0558,0.051,0.047,0.0435,0.0407,0.0394,0.0385,0.0371,0.0347,0.0324,0.0309,0.0299,0.0293,0.0292,0.0291,0.0282,0.0269,0.0257,0.0245,0.0239,0.0251,0.0282
29.07,-20.88,8.38,0.0572,0.0593,0.0574,0.0528,0.0453,0.0392,0.0348,0.0331,0.0342,0.039,0.0492,0.0667,0.0821,0.0884,0.0873,0.0821,0.0749,0.0663,0.0571,0.0493,0.0433,0.0391,0.0355,0.0328,0.0312,0.0302,0.0295,0.0294,0.0293,0.0285,0.0271,0.0259,0.0247,0.0243,0.0255,0.0284
27.81,0.05,9.65,0.0572,0.0578,0.0538,0.0484,0.0415,0.0358,0.0317,0.0299,0.0305,0.0341,0.0411,0.051,0.0566,0.0561,0.0532,0.0504,0.0483,0.0474,0.0486,0.0532,0.0596,0.064,0.065,0.0641,0.0625,0.0609,0.0593,0.0575,0.0554,0.0529,0.0514,0.0511,0.051,0.0505,0.0501,0.0495
26.66,14.17,-45.66,0.0617,0.0752,0.1103,0.1465,0.1832,0.2211,0.2551,0.2522,0.2315,0.2013,0.1665,0.1339,0.108,0.0877,0.0721,0.0599,0.0495,0.0403,0.0324,0.0272,0.0238,0.0213,0.0192,0.0176,0.0168,0.0164,0.0161,0.0164,0.0168,0.0166,0.0157,0.0148,0.014,0.0143,0.0164,0.0207
32.67,-48.47,11.89,0.0485,0.0516,0.0522,0.0487,0.0419,0.0361,0.0323,0.031,0.0327,0.0397,0.0572,0.0995,0.16,0.1946,0.1785,0.1384,0.099,0.0679,0.046,0.0333,0.0264,0.0225,0.0198,0.018,0.0171,0.0166,0.0164,0.0167,0.017,0.0167,0.0158,0.0149,0.0141,0.0144,0.0165,0.021
22.05,-4.25,-23.7,0.0441,0.0511,0.0656,0.0775,0.0861,0.0936,0.0978,0.0951,0.0912,0.087,0.0816,0.0761,0.0706,0.0645,0.0575,0.0495,0.0412,0.0331,0.0259,0.0208,0.0176,0.0157,0.0142,0.0133,0.0128,0.0125,0.0123,0.0124,0.0125,0.0122,0.0117,0.0113,0.011,0.0115,0.013,0.016
41.56,-8.81,-47.34,0.0803,0.0987,0.1462,0.1987,0.2569,0.319,0.3987,0.4347,0.4481,0.4446,0.421,0.3855,0.3416,0.2889,0.2306,0.1741,0.1264,0.0888,0.0612,0.0446,0.0354,0.03,0.0262,0.0236,0.0224,0.0216,0.0214,0.0217,0.0223,0.022,0.0208,0.0195,0.0183,0.0184,0.0207,0.0259
22.99,26.65,-37.34,0.0718,0.085,0.119,0.154,0.1826,0.1972,0.1893,0.1645,0.1371,0.1099,0.0846,0.0637,0.0493,0.0396,0.0335,0.0298,0.0277,0.0266,0.0273,0.0314,0.0378,0.0421,0.0418,0.0397,0.0382,0.0372,0.0369,0.0379,0.0394,0.0393,0.0371,0.0341,0.031,0.0297,0.032,0.0398
37.16,43.8,28.19,0.0589,0.0594,0.0546,0.0483,0.0403,0.0338,0.0293,0.0273,0.0276,0.0304,0.0358,0.0418,0.0423,0.0382,0.0339,0.0312,0.0299,0.0302,0.034,0.0481,0.0857,0.1561,0.2406,0.308,0.346,0.36,0.3619,0.3584,0.3528,0.3463,0.3402,0.3334,0.3265,0.3192,0.3108,0.3028
19.88,20.42,-17.56,0.0537,0.0589,0.0697,0.079,0.0831,0.083,0.0769,0.0682,0.0599,0.0515,0.0427,0.0347,0.0287,0.0243,0.0214,0.0197,0.0188,0.0188,0.0202,0.0247,0.0328,0.041,0.0459,0.0477,0.0478,0.0472,0.0465,0.0455,0.044,0.0422,0.0413,0.0416,0.0419,0.0419,0.0417,0.0418
41.34,53.7,-15.98,0.1011,0.1201,0.1677,0.2198,0.2609,0.2703,0.2466,0.2115,0.1774,0.144,0.1129,0.0871,0.0688,0.0562,0.0483,0.044,0.0418,0.0421,0.0469,0.0644,0.1072,0.1821,0.2712,0.3438,0.3853,0.4005,0.4021,0.3974,0.3904,0.3825,0.3749,0.3665,0.3579,0.349,0.3387,0.3296
41.1,-51.7,40.2,0.0391,0.0362,0.0279,0.0215,0.0167,0.0137,0.012,0.0115,0.0124,0.0155,0.0245,0.0528,0.118,0.2079,0.2547,0.2377,0.1928,0.1444,0.1034,0.0767,0.061,0.0517,0.0448,0.0401,0.0377,0.0364,0.036,0.037,0.0386,0.0385,0.0363,0.0334,0.0302,0.0289,0.0315,0.0393
44.73,32.41,52.38,0.0417,0.0376,0.0281,0.0215,0.0165,0.0133,0.0116,0.0111,0.0118,0.0146,0.0217,0.0391,0.0621,0.0748,0.0752,0.0723,0.0704,0.0715,0.08,0.1092,0.1717,0.2554,0.3242,0.362,0.3757,0.3759,0.3712,0.3646,0.3573,0.3499,0.3431,0.3359,0.3284,0.321,0.3123,0.3044
26.99,-11.65,25.28,0.0296,0.0267,0.0203,0.016,0.0131,0.0113,0.0103,0.0099,0.0104,0.0123,0.0172,0.0287,0.0444,0.0558,0.0598,0.0598,0.0583,0.0563,0.0542,0.0526,0.0509,0.0493,0.0476,0.046,0.0447,0.0436,0.0426,0.0416,0.0403,0.0387,0.0379,0.0379,0.038,0.0381,0.038,0.038
72.03,-15.53,85.4,0.0551,0.0511,0.0395,0.0307,0.0235,0.0192,0.0168,0.0161,0.0172,0.0215,0.0339,0.0719,0.1587,0.2974,0.4285,0.4971,0.5162,0.5134,0.5052,0.4993,0.4911,0.4822,0.4712,0.4587,0.4459,0.4331,0.4218,0.4114,0.4013,0.3914,0.3825,0.3731,0.364,0.3546,0.3439,0.3347
